continent_name,country_code,country_name,year,gdp_per_capita
North America,ABW,Aruba,2004,22566.68
Europe,AND,Andorra,2004,29372.17
Asia,AFG,Afghanistan,2004,220.06
Africa,AGO,Angola,2004,1229.34
Europe,ALB,Albania,2004,2320.89
NULL,ARB,Arab World,2004,3169.36
Asia,ARE,United Arab Emirates,2004,40403.99
South America,ARG,Argentina,2004,3997.24
Europe,ARM,Armenia,2004,1182.1
North America,ATG,Antigua and Barbuda,2004,11076.06
Oceania,AUS,Australia,2004,30464
Europe,AUT,Austria,2004,35662.21
Europe,AZE,Azerbaijan,2004,1045.03
Africa,BDI,Burundi,2004,121.86
Europe,BEL,Belgium,2004,34706.7
Africa,BEN,Benin,2004,511.29
Africa,BFA,Burkina Faso,2004,371.22
Asia,BGD,Bangladesh,2004,400.47
Europe,BGR,Bulgaria,2004,3249.29
Asia,BHR,Bahrain,2004,16027.34
North America,BHS,"Bahamas, The",2004,22005
Europe,BIH,Bosnia and Herzegovina,2004,2578.74
Europe,BLR,Belarus,2004,2378.38
North America,BLZ,Belize,2004,3991.28
North America,BMU,Bermuda,2004,70359.32
South America,BOL,Bolivia,2004,954.92
South America,BRA,Brazil,2004,3607.19
North America,BRB,Barbados,2004,12893.59
Asia,BRN,Brunei Darussalam,2004,21819.29
Asia,BTN,Bhutan,2004,1108.52
Africa,BWA,Botswana,2004,4829.52
Africa,CAF,Central African Republic,2004,326.2
North America,CAN,Canada,2004,31011.91
Europe,CHE,Switzerland,2004,50641.84
NULL,CHI,Channel Islands,2004,55842.66
South America,CHL,Chile,2004,6223.97
Asia,CHN,China,2004,1490.38
Africa,CIV,Cote d'Ivoire,2004,902.99
Africa,CMR,Cameroon,2004,892.53
Africa,COG,"Congo, Rep.",2004,1347.87
South America,COL,Colombia,2004,2752.91
Africa,COM,Comoros,2004,619.11
Africa,CPV,Cabo Verde,2004,2159.23
North America,CRI,Costa Rica,2004,4379.39
NULL,CSS,Caribbean small states,2004,6163.78
North America,CUB,Cuba,2004,3388.77
Europe,CYP,Cyprus,2004,21380.9
Europe,CZE,Czech Republic,2004,11177.36
Europe,DEU,Germany,2004,33040.05
Africa,DJI,Djibouti,2004,869.8
North America,DMA,Dominica,2004,5218.3
Europe,DNK,Denmark,2004,45282.07
North America,DOM,Dominican Republic,2004,2407.19
Africa,DZA,Algeria,2004,2549.96
NULL,EAP,East Asia & Pacific (developing only),2004,1415.35
NULL,EAS,East Asia & Pacific (all income levels),2004,4452.92
NULL,ECA,Europe & Central Asia (developing only),2004,3173.95
NULL,ECS,Europe & Central Asia (all income levels),2004,17370.62
South America,ECU,Ecuador,2004,2704.67
Africa,EGY,"Egypt, Arab Rep.",2004,1116.93
NULL,EMU,Euro area,2004,30117.41
Africa,ERI,Eritrea,2004,237.71
Europe,ESP,Spain,2004,24337.51
Europe,EST,Estonia,2004,8871.71
Africa,ETH,Ethiopia,2004,134.28
NULL,EUU,European Union,2004,26769.94
Europe,FIN,Finland,2004,36162.66
